model_name,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,split0_train_pr_auc,split1_train_pr_auc,split2_train_pr_auc,mean_train_pr_auc,std_train_pr_auc,split0_test_f2,split1_test_f2,split2_test_f2,mean_test_f2,std_test_f2,rank_test_f2,split0_train_f2,split1_train_f2,split2_train_f2,mean_train_f2,std_train_f2,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,mean_train_f1,std_train_f1,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,mean_train_recall,std_train_recall,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,mean_train_accuracy,std_train_accuracy,param_model__C,param_model__max_depth,param_model__min_samples_leaf,param_model__max_features,param_model__learning_rate,param_model__n_estimators,param_model__colsample_bytree,param_model__min_child_samples,param_model__num_leaves,param_model__subsample,param_model__depth,param_model__iterations,param_model__l2_leaf_reg
dummy_most_frequent,0.32228724161783856,0.08459831735666819,0.3463145097096761,0.07751402401187982,{},0.26517571884984026,0.26517571884984026,0.2657082002129925,0.2653532126375577,0.00025101412182694624,1,0.2654419595314164,0.2654419595314164,0.26517571884984026,0.2653532126375577,0.00012550706091348619,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1,0.5,0.5,0.5,0.5,0.0,0.7348242811501597,0.7348242811501597,0.7342917997870074,0.7346467873624424,0.00025101412182697237,1,0.7345580404685836,0.7345580404685836,0.7348242811501597,0.7346467873624424,0.00012550706091346003,,,,,,,,,,,,,
logistic_regression,0.383595069249471,0.042594045212281516,0.2016294002532959,0.02524678938733102,{'model__C': 0.1},0.6561902431751059,0.6654008048158281,0.6673601018083815,0.6629837165997718,0.0048698509255067765,2,0.6714364840550953,0.665483573848637,0.669955136006316,0.668958397970016,0.0025304018147709246,0.7205720572057206,0.7021353601158161,0.7366885485047411,0.719798655275426,0.01411687689421123,2,0.7197802197802198,0.7339282462210891,0.7207863123407353,0.7248315927806814,0.006445405775756979,0.6374695863746959,0.61150512214342,0.648995983935743,0.6326568974846195,0.015679342253365584,1,0.6366950182260024,0.6448,0.6320830007980845,0.6378593396746957,0.005256567352832405,0.5346938775510204,0.503242542153048,0.5415549597855228,0.5264971264965305,0.016680335370294654,1,0.5339673913043478,0.5362608117099135,0.5245033112582781,0.5315771714241797,0.0050888484305858595,0.7891566265060241,0.7791164658634538,0.8096192384769539,0.7926307769488106,0.01269270329105291,2,0.7883650952858575,0.8084252758274825,0.7951807228915663,0.7973236980016355,0.008328543993697377,0.8432774576567139,0.8421934113264654,0.8595697559004885,0.8483468749612225,0.007948105918780651,1,0.8556864867891096,0.8559391476350037,0.8476200090215935,0.8530818811485691,0.0038635039989052497,0.7619808306709265,0.7374866879659212,0.7673056443024494,0.7555910543130991,0.012984977748080839,1,0.7611821086261981,0.7635782747603834,0.7545260915867945,0.7597621583244587,0.003829508166558634,0.1,,,,,,,,,,,,
logistic_regression,0.4809725284576416,0.03337546643853774,0.22507715225219727,0.0060213598812706905,{'model__C': 1.0},0.6572442453090673,0.6667409436935731,0.6646744890328965,0.6628865593451789,0.004077935709623577,3,0.6716467638879187,0.6668496061346779,0.6711434622964634,0.6698799441063533,0.0021526014168789186,0.7231555880204529,0.7001082641645615,0.7368995633187773,0.7200544718345973,0.015179209785369399,1,0.7201533406352684,0.740572878897752,0.7216869660061807,0.7274710618464004,0.009285515933606622,0.6366559485530546,0.6076742364917777,0.6474820143884892,0.6306040664777738,0.016805430724586373,2,0.6344993968636912,0.6471287128712871,0.6319140469558296,0.6378473855636027,0.00664721926727246,0.5308310991957105,0.4980744544287548,0.538563829787234,0.5224897944705664,0.017550506215267964,2,0.5295302013422819,0.5346858638743456,0.5234014502307185,0.5292058384824486,0.00461254855575156,0.7951807228915663,0.7791164658634538,0.811623246492986,0.7953068117493354,0.013271137115916178,1,0.7913741223671013,0.8194583751253761,0.7971887550200804,0.8026737508375192,0.012103586178915705,0.8431625050928351,0.8418310924858856,0.8595392380119193,0.8481776118635467,0.008052249227556445,2,0.8558231781244423,0.8565273566258762,0.8480059731680344,0.8534521693061176,0.0038617574687634174,0.759318423855165,0.7332268370607029,0.7651757188498403,0.7525736599219027,0.013887683806899908,2,0.7579872204472844,0.762779552715655,0.753727369542066,0.7581647142350018,0.0036976689130280233,1.0,,,,,,,,,,,,
logistic_regression,0.4398481845855713,0.01024978090475257,0.2133952776590983,0.007747514893563835,{'model__C': 3.0},0.6574605194834514,0.6668582817956273,0.6647720968615247,0.6630302993802012,0.004029464643390186,1,0.6724474002544807,0.6672145217825566,0.6713357066025452,0.6703325428798609,0.0022510008687047244,0.7192405987586711,0.6988082340195017,0.7345454545454545,0.7175314291078757,0.014639630651113808,3,0.7200219018068991,0.7409758752040632,0.7214246774486643,0.727474151486542,0.009564320933674406,0.6329317269076306,0.6070588235294118,0.644852354349561,0.6282809682622011,0.015775717837802083,3,0.6342443729903537,0.647898493259318,0.6314115308151094,0.6378514656882605,0.007197838608807288,0.5274431057563588,0.4980694980694981,0.5358090185676393,0.5204405407978321,0.016183217415091787,3,0.5291750503018109,0.5357377049180327,0.5227123107307439,0.5292083553168625,0.005317647058087841,0.7911646586345381,0.7771084337349398,0.8096192384769539,0.7926307769488106,0.013312906855802924,2,0.7913741223671013,0.8194583751253761,0.7971887550200804,0.8026737508375192,0.012103586178915705,0.8432469006460624,0.8416521157092137,0.8595305186151854,0.8481431783234873,0.008078344464798038,3,0.8559216976773015,0.8566218772300955,0.8480496260403936,0.853531066982597,0.00388649018641796,0.7566560170394037,0.7332268370607029,0.7630457933972311,0.7509762158324459,0.012818935097811701,3,0.7577209797657082,0.7635782747603834,0.7531948881789138,0.7581647142350018,0.0042505963843905035,3.0,,,,,,,,,,,,
decision_tree,0.2099477450052897,0.013448062623345958,0.17728551228841147,0.012249136727477844,"{'model__max_depth': 3, 'model__min_samples_leaf': 20}",0.54086982077163,0.555711631254337,0.5209146700466856,0.5391653740242175,0.014256834182425708,5,0.5746087486243193,0.5745918033998512,0.5406296817119749,0.5632767445787151,0.01601389322125679,0.684906353286816,0.7109515260323159,0.6548507462686567,0.6835695418625963,0.02292254597713196,5,0.7078424153166422,0.7123362445414847,0.6726498889711325,0.6976095162764198,0.01774421730573359,0.6069975589910497,0.6134779240898528,0.5934065934065934,0.6046273588291653,0.008363729847969946,4,0.6300696435886931,0.6251497005988024,0.6018211920529801,0.6190135120801585,0.012321616795795203,0.5102599179206566,0.49936948297604034,0.5131578947368421,0.5075957652111797,0.005935955804300563,1,0.5325484764542936,0.5192307692307693,0.5119718309859155,0.5212503588903261,0.008520901418573552,0.748995983935743,0.7951807228915663,0.7034068136272545,0.749194506818188,0.03746680454228491,5,0.7713139418254764,0.7853560682046138,0.7299196787148594,0.7621965629149831,0.023532152027429296,0.8048090914382167,0.8114326872708224,0.8031131152805975,0.8064516313298787,0.0035895470927783273,5,0.8271209060308871,0.8272850446955219,0.8147475772655841,0.8230511759973309,0.005871913333755798,0.7428115015974441,0.7342917997870074,0.7438764643237487,0.7403265885694,0.0042893311940343,1,0.7595846645367412,0.75,0.7438764643237487,0.7511537096201634,0.006464527458812334,,3,20.0,,,,,,,,,,
decision_tree,0.2050654093424479,0.010661057543754942,0.18594996134440103,0.008120660269302592,"{'model__max_depth': 3, 'model__min_samples_leaf': 50}",0.54086982077163,0.555711631254337,0.5209146700466856,0.5391653740242175,0.014256834182425708,5,0.5746087486243193,0.5745918033998512,0.5406296817119749,0.5632767445787151,0.01601389322125679,0.684906353286816,0.7109515260323159,0.6548507462686567,0.6835695418625963,0.02292254597713196,5,0.7078424153166422,0.7123362445414847,0.6726498889711325,0.6976095162764198,0.01774421730573359,0.6069975589910497,0.6134779240898528,0.5934065934065934,0.6046273588291653,0.008363729847969946,4,0.6300696435886931,0.6251497005988024,0.6018211920529801,0.6190135120801585,0.012321616795795203,0.5102599179206566,0.49936948297604034,0.5131578947368421,0.5075957652111797,0.005935955804300563,1,0.5325484764542936,0.5192307692307693,0.5119718309859155,0.5212503588903261,0.008520901418573552,0.748995983935743,0.7951807228915663,0.7034068136272545,0.749194506818188,0.03746680454228491,5,0.7713139418254764,0.7853560682046138,0.7299196787148594,0.7621965629149831,0.023532152027429296,0.8048090914382167,0.8114326872708224,0.8031131152805975,0.8064516313298787,0.0035895470927783273,5,0.8271209060308871,0.8272850446955219,0.8147475772655841,0.8230511759973309,0.005871913333755798,0.7428115015974441,0.7342917997870074,0.7438764643237487,0.7403265885694,0.0042893311940343,1,0.7595846645367412,0.75,0.7438764643237487,0.7511537096201634,0.006464527458812334,,3,50.0,,,,,,,,,,
decision_tree,0.2443089485168457,0.014711742740229803,0.18598000208536783,0.008925775038002676,"{'model__max_depth': 5, 'model__min_samples_leaf': 20}",0.5973265535585673,0.6174888566895113,0.6009597652341481,0.6052583918274089,0.008774518403773302,3,0.6589913468015492,0.6581951882415868,0.6379410083370096,0.6517091811267152,0.009740992543149562,0.7168394708616375,0.7236608726498759,0.7199585635359116,0.7201529690158083,0.0027882163602209924,1,0.7441486510630695,0.7418772563176895,0.7486676981261818,0.7448978685023137,0.0028223536356595147,0.6155026861089793,0.6158490566037735,0.5961401000714797,0.6091639475947441,0.00921033645284283,3,0.639293937068304,0.6449588073754413,0.6157652880876635,0.6333393441771363,0.012640102174590263,0.49813664596273294,0.49334945586457074,0.4633333333333333,0.48493981172021233,0.015402580486636818,6,0.5177128651336234,0.529639175257732,0.475177304964539,0.507509781785298,0.02337521495541516,0.8052208835341366,0.8192771084337349,0.8356713426853707,0.820056444884414,0.012443556287164918,1,0.835506519558676,0.8244734202607823,0.8744979919678715,0.8448259772624432,0.021459320625137175,0.8266973691868925,0.8268974448518712,0.8312593279379644,0.8282847139922427,0.0021049550529628398,2,0.8609985447462357,0.8594573135862825,0.8487897241138467,0.8564151941487883,0.0054286089877270995,0.7332268370607029,0.7289669861554846,0.6991480298189563,0.720447284345048,0.0151609204856675,6,0.7497337593184239,0.7590521831735889,0.7105963791267306,0.7397941072062478,0.020993471200037382,,5,20.0,,,,,,,,,,
decision_tree,0.2440027395884196,0.008676014102673124,0.18435200055440268,0.006296950873425191,"{'model__max_depth': 5, 'model__min_samples_leaf': 50}",0.6011557405682201,0.6184011279817427,0.604078505080796,0.6078784578769196,0.007535718399736784,2,0.6538809036582119,0.6576975775138174,0.6366886029936378,0.6494223613885557,0.009137950243357718,0.7101554029634983,0.7292778370686588,0.7208971164115343,0.7201101188145639,0.007826510309615602,2,0.7354535598120708,0.7361740707162284,0.7366385372714487,0.736088722599916,0.00048751486850963843,0.617439120188531,0.6226271829916477,0.6173780487804879,0.6191481173202221,0.0024601972669941975,1,0.6401887534408179,0.6434231378763867,0.6207407407407407,0.6347842106859818,0.010017637670509935,0.5070967741935484,0.5006105006105006,0.4981549815498155,0.5019540854512882,0.0037720753871199626,4,0.5265200517464425,0.5317616240995415,0.49178403755868544,0.5166885711348899,0.017739698694724425,0.7891566265060241,0.8232931726907631,0.811623246492986,0.8080243485632578,0.014166627358858928,2,0.8164493480441324,0.8144433299899699,0.8413654618473896,0.8240860466271641,0.012245806625756426,0.8250261917234154,0.8280695244747106,0.832998120970004,0.82869794572271,0.003284722101574361,1,0.857169187882604,0.8576290669762097,0.8470865345439728,0.8539615964675954,0.004865026860865828,0.740681576144835,0.7353567625133121,0.7326943556975506,0.7362442314518992,0.003320604709597057,4,0.7563897763578274,0.7603833865814696,0.7273695420660277,0.7480475683351083,0.01471219014838115,,5,50.0,,,,,,,,,,
decision_tree,0.270388126373291,0.01149171823768272,0.1770010789235433,0.02484734254466929,"{'model__max_depth': 8, 'model__min_samples_leaf': 20}",0.5721496691100079,0.6192212883447726,0.5953573243077912,0.5955760939208572,0.019217530702518644,4,0.7514993390924352,0.7408226215399872,0.7352058861509161,0.7425092822611129,0.006757848300581828,0.6723760932944607,0.697928026172301,0.6853809697411594,0.685228363069307,0.0104320910350589,4,0.7715430861723447,0.7662028560966679,0.7683236574746009,0.7686898665812046,0.002195464437973613,0.5904,0.6109785202863962,0.6035313001605136,0.6016366068156366,0.008507301626553727,6,0.678142514011209,0.6774585188182922,0.6711568938193344,0.675585975549612,0.0031442578441863854,0.49069148936170215,0.5059288537549407,0.5033467202141901,0.4999890211102776,0.006658324407206083,5,0.564290473017988,0.567842605156038,0.5543193717277487,0.5621508166339249,0.0057243956112062915,0.7409638554216867,0.7710843373493976,0.7535070140280561,0.7551850689330468,0.012353751362440806,4,0.8495486459378134,0.839518555667001,0.8504016064257028,0.846489602676839,0.0049415589786021225,0.8016231593038823,0.8140991502240846,0.8186685190540617,0.8114636095273428,0.00720396318361847,4,0.895199007679072,0.8904235359212832,0.8867673592922414,0.8907966342975322,0.003452301206302413,0.7273695420660277,0.7396166134185304,0.7369542066027689,0.7346467873624424,0.005259329921913058,5,0.7859424920127795,0.7878061767838126,0.7790202342917998,0.784256301029464,0.0037798259565223476,,8,20.0,,,,,,,,,,
decision_tree,0.23258630434672037,0.01532769149762399,0.16123334566752115,0.011856426867467277,"{'model__max_depth': 8, 'model__min_samples_leaf': 50}",0.609125820574969,0.6224001274723509,0.6144415943442181,0.6153225141305126,0.005454895089359879,1,0.6909708162161532,0.6840400111391873,0.6918974346640101,0.688969420673117,0.003506086536474706,0.6835443037974683,0.7048458149779736,0.7160759040458289,0.7014886742737568,0.013491455294882371,3,0.7526687172064411,0.7364627610423212,0.7555870876197233,0.7482395219561618,0.00841222502011621,0.5948072383949646,0.624390243902439,0.6172839506172839,0.6121604776382292,0.012608886687283775,2,0.6561514195583596,0.6586776859504132,0.6430188679245283,0.6526159911444337,0.006864113734704589,0.4890038809831824,0.5245901639344263,0.5018820577164367,0.5051587008780151,0.014711632050359243,3,0.5406107862248213,0.5600843288826423,0.5151148730350665,0.5386033293808433,0.018413498708684542,0.7590361445783133,0.7710843373493976,0.8016032064128257,0.7772412294468455,0.017914969132553426,3,0.8345035105315948,0.7993981945837513,0.8554216867469879,0.8297744639541113,0.023114653789174024,0.8144731098306268,0.8233295500843957,0.8267724717019245,0.8215250438723155,0.0051807822840673505,3,0.8706607317421637,0.8692042055852226,0.8645578691577906,0.868140935495059,0.0026024527398094597,0.7257720979765708,0.7539936102236422,0.7358892438764644,0.738551650692226,0.01167418079687991,3,0.7678381256656017,0.7800851970181044,0.748136315228967,0.7653532126375576,0.013160898056028878,,8,50.0,,,,,,,,,,
random_forest,4.796807765960693,0.28772698345996256,0.6693047682444254,0.037378777072597305,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10}",0.6440897193415588,0.675734207495513,0.6640728444593978,0.6612989237654899,0.01306686355234762,1,0.7624811935783827,0.7461798234140598,0.7491023185578409,0.7525877785167611,0.007096712415031669,0.7069029162052418,0.70777088653776,0.7172131147540983,0.7106289724990335,0.004669156958219312,1,0.7669562003326557,0.7793522267206477,0.7559215396002961,0.7674099888845332,0.009570918373570178,0.6304526748971193,0.6222935044105854,0.6486941870261163,0.633813455444607,0.011036912160496612,2,0.6859504132231405,0.6934097421203438,0.6763245033112583,0.6852282195515809,0.0069936885387374415,0.5341701534170153,0.5180240320427236,0.559593023255814,0.5372624029051843,0.01711075222954475,2,0.5832747716092762,0.5857538035961273,0.5753521126760563,0.5814602292938199,0.004436080579378417,0.7690763052208835,0.7791164658634538,0.7715430861723447,0.7732452857522274,0.004271948734825748,1,0.8324974924774323,0.8495486459378134,0.820281124497992,0.8341090876377458,0.012002635322521524,0.839473109830627,0.8447078167743438,0.8589870095520991,0.8477226453856899,0.008246816123076862,1,0.9007906285002163,0.8975854711652174,0.8938720461556371,0.8974160486070236,0.002827038900463341,0.760915867944622,0.7492012779552716,0.7779552715654952,0.7626908058217964,0.011805672096780864,2,0.7976570820021299,0.8005857294994675,0.7917997870074548,0.7966808661696841,0.0036526651805567074,,8,10.0,sqrt,,,,,,,,,
random_forest,5.150993982950847,0.4923552379960824,0.6667852401733398,0.03058767495085529,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10}",0.6412278085675354,0.6693113512501496,0.6652954513615067,0.6586115370597305,0.012401004668887917,2,0.7969683182621897,0.7841758855857407,0.7882061589236578,0.7897834542571961,0.005340254605183258,0.6991051454138703,0.7072005878030859,0.708380308154829,0.7048953471239283,0.004122520419148891,2,0.7806065144140771,0.7904479822288042,0.7741875233470302,0.7817473399966371,0.006687139050387844,0.6313131313131313,0.6270358306188925,0.647766323024055,0.6353717616520261,0.008936542545860963,1,0.7094853253934496,0.7084197428452924,0.7007607776838546,0.7062219486408655,0.0038860569311328953,0.5434782608695652,0.5273972602739726,0.5669172932330827,0.5459309381255402,0.016226931740448654,1,0.6159527326440177,0.6039603960396039,0.6051094890510949,0.6083408725782388,0.005402802601922689,0.7530120481927711,0.7730923694779116,0.7555110220440882,0.7605384799049236,0.00893537259568112,2,0.8365095285857572,0.8565697091273822,0.8323293172690763,0.8418028516607386,0.010580283589241282,0.8394389150806123,0.8432003375822128,0.85884023304041,0.8471598285677451,0.008400831756148738,2,0.914822393966968,0.9122378007527476,0.9099288458180549,0.9123296801792568,0.001998838786761685,0.7667731629392971,0.7561235356762513,0.7816826411075612,0.7681931132410366,0.010482657479753925,1,0.8181576144834931,0.8128328008519702,0.8115015974440895,0.8141640042598509,0.0028757280344373004,,,10.0,sqrt,,,,,,,,,
gradient_boosting,4.008514404296875,0.13079679973700586,0.1967756748199463,0.007010293176271386,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 100}",0.6513295163255846,0.671247331558867,0.6716807375109864,0.664752528465146,0.0094931519652833,1,0.6995795219266838,0.6892423131583361,0.692907323949086,0.6939097196780354,0.0042792576597787966,0.5002128565346956,0.5546253662620343,0.5150214592274678,0.5232865606747326,0.022969751560942282,2,0.548105576841209,0.5521601685985248,0.5278842060451255,0.5427166504949531,0.0106179403165127,0.5497076023391813,0.5921787709497207,0.5762304921968787,0.5727056218285935,0.017517012190460812,2,0.6033977738722905,0.5974914481185861,0.5801169590643275,0.5936687270184015,0.009881261120188264,0.6582633053221288,0.6675062972292192,0.718562874251497,0.6814441589342817,0.02651675564555352,1,0.7253521126760564,0.6922060766182299,0.6946778711484594,0.7040786868142485,0.01507639275983691,0.4718875502008032,0.5321285140562249,0.48096192384769537,0.49499266270157455,0.026519045434641488,2,0.5165496489468405,0.5255767301905717,0.4979919678714859,0.5133727823362993,0.011483296249944737,0.8402057505383854,0.8447201850881787,0.8601357900718042,0.8483539085661227,0.00853247047798507,1,0.8645128935192675,0.8626735589152379,0.855599754088819,0.8609287355077749,0.003842249355874507,0.7949946751863685,0.8056443024494143,0.8120340788072418,0.8042243521476747,0.007028395411154909,2,0.81975505857295,0.8120340788072418,0.808839190628328,0.8135427760028399,0.004582296998021157,,2,,,0.05,100.0,,,,,,,
gradient_boosting,5.264066060384114,0.265096851143888,0.3979324499766032,0.04890053909483277,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 100}",0.6512749319025476,0.6597389224589878,0.6715296849478845,0.6608478464364732,0.008306063629372515,2,0.730702765708453,0.7123754784218609,0.7172197040783073,0.7200993160695405,0.007754202677101881,0.5273109243697479,0.5717255717255717,0.5316886431305827,0.5435750464086341,0.019985497443594763,1,0.5916351408154686,0.5801798034706251,0.570193929173693,0.5806696244865955,0.008760187693484581,0.5665914221218962,0.6037321624588364,0.585480093676815,0.5852678927525158,0.015163386167964164,1,0.6372382569326542,0.6194196428571429,0.6161731207289294,0.6242770068395754,0.009260326828780398,0.6469072164948454,0.6658595641646489,0.704225352112676,0.6723307109240567,0.0238432236769325,2,0.7311688311688311,0.6981132075471698,0.7118421052631579,0.713708047993053,0.013559249486547803,0.5040160642570282,0.5522088353413654,0.501002004008016,0.5190756345354699,0.023461001492249767,1,0.5646940822467402,0.5566700100300903,0.5431726907630522,0.5548455943466276,0.00888027560713775,0.8412737908154357,0.8423076363424714,0.8609655859943237,0.8481823377174104,0.009048969979150497,2,0.8753682213730717,0.8724395368054145,0.866257239101333,0.8713549990932731,0.0037977770713736284,0.7955271565495208,0.8077742279020235,0.8115015974440895,0.8049343272985445,0.006823707059546001,1,0.8293397231096912,0.8184238551650692,0.8205537806176784,0.8227724529641463,0.004724469880797372,,2,,,0.1,100.0,,,,,,,
lightgbm,0.9361974398295084,0.03177149190820473,0.41985400517781574,0.02509963241558063,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__min_child_samples': 20, 'model__n_estimators': 150, 'model__num_leaves': 15, 'model__subsample': 0.8}",0.6381117320614229,0.6503915283900308,0.6608559358236442,0.649786398758366,0.009295136276487093,1,0.8042133418559719,0.7890765519291602,0.798450480666447,0.7972467914838597,0.006237908466695968,0.7108567208271788,0.7006952067325284,0.7108478341355053,0.7074665872317375,0.004788090443459641,1,0.8193548387096774,0.8258478460128322,0.8256880733944955,0.8236302527056684,0.003023877802891413,0.6342668863261944,0.6182405165456013,0.6378737541528239,0.6301270523415399,0.008533060170137883,1,0.7304847986852917,0.7313311688311688,0.7311129163281884,0.7309762946148829,0.00035878008618826015,0.5377094972067039,0.5168690958164642,0.5446808510638298,0.5330864813623326,0.011815318844839308,2,0.6186499652052888,0.6141785957736878,0.6139154160982264,0.6155813256924011,0.0021725142470474398,0.7730923694779116,0.7690763052208835,0.7695390781563126,0.7705692509517026,0.0017940893735478099,1,0.8916750250752257,0.9037111334002006,0.9036144578313253,0.8996668721022506,0.005651227047814714,0.84005878586811,0.8389041673942146,0.8565993480797709,0.8451874337806985,0.008083197673037364,1,0.9250526134401755,0.9219668792532001,0.9215856178336534,0.9228683701756765,0.001552316343703003,0.7635782747603834,0.748136315228967,0.7678381256656017,0.7598509052183173,0.008464053260608024,2,0.825346112886049,0.8237486687965921,0.8237486687965921,0.8242811501597443,0.000753042365480865,,,,,0.05,150.0,0.8,20.0,15.0,0.8,,,
lightgbm,1.031442403793335,0.15084718421896398,0.48006145159403485,0.10122503202651326,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__min_child_samples': 20, 'model__n_estimators': 150, 'model__num_leaves': 15, 'model__subsample': 0.8}",0.6315035310274069,0.6287138571503708,0.6398991762964873,0.6333721881580883,0.004753717892636263,2,0.8784812665808799,0.8670848759836686,0.8759008035940655,0.8738223153862047,0.0048791744235894465,0.6824146981627297,0.6897189349112426,0.6800151114469211,0.6840495815069644,0.004126796991907194,2,0.8765201122544434,0.8829549683662077,0.8854166666666666,0.8816305824291059,0.0037507926882377816,0.6206308610400681,0.6165289256198347,0.6260869565217392,0.6210822477272141,0.003915082045665576,2,0.7960917587085812,0.7964750314729333,0.7973199329983249,0.7966289077266131,0.0005130701365842035,0.5392592592592592,0.523876404494382,0.5529953917050692,0.5387103518195702,0.011894111388331352,1,0.6904937361827561,0.6847041847041847,0.6839080459770115,0.6863686556213174,0.0029349249220375485,0.7309236947791165,0.748995983935743,0.7214428857715431,0.7337875214954676,0.011429331628387038,2,0.9398194583751254,0.9518555667001003,0.9558232931726908,0.9491661060826387,0.0068046837235636705,0.8335843373493976,0.8276344508468657,0.8452575927780144,0.8354921269914258,0.0073199967609294,2,0.9580906547115068,0.9548282397027981,0.9567278170653629,0.9565489038265559,0.001337870293296348,0.7630457933972311,0.7529286474973376,0.7710330138445154,0.7623358182463614,0.007408106764185014,1,0.8722044728434505,0.8708732694355698,0.8711395101171459,0.8714057507987221,0.0005751456068874668,,,,,0.1,150.0,0.8,20.0,15.0,0.8,,,
catboost,3.7797138690948486,0.6496118842367629,0.3289206822713216,0.19217774453536104,"{'model__depth': 4, 'model__iterations': 150, 'model__l2_leaf_reg': 3, 'model__learning_rate': 0.05}",0.658574543988945,0.6698642707428827,0.6738306222364164,0.6674231456560813,0.006463038482545747,1,0.7238975770293731,0.7026203633067295,0.7055943471557876,0.71070409583063,0.009407872752463,0.7228478023973847,0.7198999642729547,0.737495436290617,0.7267477343203188,0.007694468170217041,1,0.7555919258046918,0.7690918938436541,0.7427536231884058,0.7558124809455838,0.010753684909676585,0.6322478157267672,0.617624521072797,0.6505636070853462,0.6334786479616368,0.013475460606310144,1,0.6626794258373205,0.6687598116169545,0.6477093206951027,0.6597161860497925,0.008845578350849776,0.5229960578186597,0.4993804213135068,0.5437415881561238,0.5220393557627634,0.01812300085577153,2,0.5499669093315684,0.5493230174081238,0.5338541666666666,0.5443813644687863,0.0074484928845140325,0.7991967871485943,0.8092369477911646,0.8096192384769539,0.806017657805571,0.004825608350699699,1,0.8335005015045135,0.8545636910732196,0.8232931726907631,0.8371191217561654,0.01302003941036373,0.843838397066527,0.8456070659449391,0.8619232664022751,0.8504562431379137,0.008140496066351244,1,0.8787871406899204,0.8770008830405679,0.8686263168616494,0.8748047801973792,0.0044292765391717535,0.7534611288604899,0.7342917997870074,0.7689030883919062,0.7522186723464679,0.014157285482860677,2,0.7747603833865815,0.7752928647497338,0.7625133120340788,0.770855520056798,0.005902836048390468,,,,,0.05,,,,,,4.0,150.0,3.0
catboost,2.848064581553141,0.3267530737360956,0.21211345990498862,0.02021005571586532,"{'model__depth': 4, 'model__iterations': 150, 'model__l2_leaf_reg': 3, 'model__learning_rate': 0.1}",0.6529691567207541,0.6562448099843743,0.6655835015447397,0.6582658227499559,0.005344392281234994,2,0.7625040064524975,0.7575893356242738,0.7557464455336064,0.7586132625367926,0.0028521894671481576,0.7079970652971387,0.7122145704965567,0.7290513104466593,0.7164209820801183,0.00909544697497117,2,0.7955588181317673,0.802446594851196,0.7887504580432393,0.7955852903420676,0.005591455770429559,0.6266233766233766,0.6213438735177865,0.6518151815181518,0.633260810553105,0.013295783785143128,2,0.7054515866558178,0.7071600965406275,0.697165991902834,0.7032592250330931,0.004364658748889636,0.5258855585831063,0.5123859191655802,0.5539971949509116,0.5307562242331993,0.017333341782567967,1,0.5934291581108829,0.590329079919409,0.5841248303934871,0.5892943561412597,0.0038683001039195447,0.7751004016064257,0.7891566265060241,0.7915831663326653,0.7852800648150383,0.007265956287746133,2,0.8696088264794383,0.8816449348044132,0.8644578313253012,0.8719038642030509,0.007201829865389756,0.8398943600488912,0.8392330190326523,0.8563515718892463,0.8451596503235965,0.007918487828437976,2,0.903319781744654,0.9030505797930217,0.8998557636342471,0.9020753750573075,0.0015733453900793899,0.7550585729499467,0.7449414270500533,0.7752928647497338,0.758430954916578,0.01261829789646875,1,0.8072417465388712,0.8061767838125665,0.8008519701810437,0.8047568335108272,0.002795174964150426,,,,,0.1,,,,,,4.0,150.0,3.0
